date,season,fav_team,dog_team,spread,actual_margin,error,home,fav_rest,dog_rest,rest_diff_raw,rest_diff,anomalous
2014-10-28,2014-15,San Antonio Spurs,Dallas Mavericks,6.0,1,-5.0,1,5,5,0,-0.11667822468793343,0
2014-10-28,2014-15,New Orleans Pelicans,Orlando Magic,9.5,17,7.5,1,5,5,0,-0.11667822468793343,0
2014-10-28,2014-15,Houston Rockets,Los Angeles Lakers,6.5,18,11.5,0,5,5,0,-0.11667822468793343,0
2014-10-29,2014-15,Charlotte Hornets,Milwaukee Bucks,9.0,2,-7.0,1,5,5,0,-0.11667822468793343,0
2014-10-29,2014-15,Indiana Pacers,Philadelphia 76ers,8.5,12,3.5,1,5,5,0,-0.11667822468793343,0
2014-10-29,2014-15,Boston Celtics,Brooklyn Nets,1.5,16,14.5,1,5,5,0,-0.11667822468793343,0
2014-10-29,2014-15,Toronto Raptors,Atlanta Hawks,5.5,7,1.5,1,5,5,0,-0.11667822468793343,0
2014-10-29,2014-15,Miami Heat,Washington Wizards,4.5,12,7.5,1,5,5,0,-0.11667822468793343,0
2014-10-29,2014-15,Chicago Bulls,New York Knicks,4.0,24,20.0,0,5,5,0,-0.11667822468793343,0
2014-10-29,2014-15,Memphis Grizzlies,Minnesota Timberwolves,8.5,4,-4.5,1,5,5,0,-0.11667822468793343,0
2014-10-29,2014-15,Denver Nuggets,Detroit Pistons,7.5,10,2.5,1,5,5,0,-0.11667822468793343,0
2014-10-29,2014-15,Houston Rockets,Utah Jazz,4.5,11,6.5,0,1,5,-4,-4.116678224687933,0
2014-10-29,2014-15,Phoenix Suns,Los Angeles Lakers,8.5,20,11.5,1,5,1,4,3.8833217753120666,0
2014-10-29,2014-15,Golden State Warriors,Sacramento Kings,4.0,18,14.0,0,5,5,0,-0.11667822468793343,0
2014-10-29,2014-15,Portland Trail Blazers,Oklahoma City Thunder,4.5,17,12.5,1,5,5,0,-0.11667822468793343,0
2014-10-30,2014-15,Washington Wizards,Orlando Magic,5.0,7,2.0,0,1,2,-1,-1.1166782246879334,0
2014-10-30,2014-15,Cleveland Cavaliers,New York Knicks,10.0,-5,-15.0,1,5,1,4,3.8833217753120666,0
2014-10-30,2014-15,Minnesota Timberwolves,Detroit Pistons,3.5,6,2.5,1,1,1,0,-0.11667822468793343,0
2014-10-30,2014-15,Dallas Mavericks,Utah Jazz,9.5,18,8.5,1,2,1,1,0.8833217753120666,0
2014-10-30,2014-15,Los Angeles Clippers,Oklahoma City Thunder,9.5,3,-6.5,1,5,1,4,3.8833217753120666,0
2014-10-31,2014-15,Memphis Grizzlies,Indiana Pacers,5.5,8,2.5,0,2,2,0,-0.11667822468793343,0
2014-10-31,2014-15,Chicago Bulls,Cleveland Cavaliers,2.5,-6,-8.5,1,2,1,1,0.8833217753120666,0
2014-10-31,2014-15,Milwaukee Bucks,Philadelphia 76ers,8.0,12,4.0,1,2,2,0,-0.11667822468793343,0
2014-10-31,2014-15,Portland Trail Blazers,Sacramento Kings,5.5,-9,-14.5,0,2,2,0,-0.11667822468793343,0
2014-10-31,2014-15,San Antonio Spurs,Phoenix Suns,1.5,-5,-6.5,0,3,2,1,0.8833217753120666,0
2014-10-31,2014-15,Los Angeles Clippers,Los Angeles Lakers,11.5,7,-4.5,0,1,2,-1,-1.1166782246879334,0
2014-11-01,2014-15,Charlotte Hornets,Memphis Grizzlies,2.5,-2,-4.5,1,3,1,2,1.8833217753120666,0
2014-11-01,2014-15,New Orleans Pelicans,Dallas Mavericks,1.0,-5,-6.0,1,4,2,2,1.8833217753120666,0
2014-11-01,2014-15,Toronto Raptors,Orlando Magic,7.0,13,6.0,0,3,2,1,0.8833217753120666,0
2014-11-01,2014-15,Miami Heat,Philadelphia 76ers,8.5,18,9.5,0,3,1,2,1.8833217753120666,0
2014-11-01,2014-15,Washington Wizards,Milwaukee Bucks,8.5,11,2.5,1,2,1,1,0.8833217753120666,0
2014-11-01,2014-15,Detroit Pistons,Brooklyn Nets,3.5,-12,-15.5,1,2,3,-1,-1.1166782246879334,0
2014-11-01,2014-15,Atlanta Hawks,Indiana Pacers,9.5,10,0.5,1,3,1,2,1.8833217753120666,0
2014-11-01,2014-15,Chicago Bulls,Minnesota Timberwolves,4.5,1,-3.5,0,1,2,-1,-1.1166782246879334,0
2014-11-01,2014-15,Houston Rockets,Boston Celtics,8.0,14,6.0,1,3,3,0,-0.11667822468793343,0
2014-11-01,2014-15,Denver Nuggets,Oklahoma City Thunder,5.5,-11,-16.5,0,3,2,1,0.8833217753120666,0
2014-11-01,2014-15,Phoenix Suns,Utah Jazz,2.0,-27,-29.0,0,1,2,-1,-1.1166782246879334,0
2014-11-01,2014-15,Golden State Warriors,Los Angeles Lakers,15.5,23,7.5,1,3,1,2,1.8833217753120666,0
2014-11-02,2014-15,Los Angeles Clippers,Sacramento Kings,10.5,-6,-16.5,1,2,2,0,-0.11667822468793343,0
2014-11-02,2014-15,Miami Heat,Toronto Raptors,3.5,5,1.5,1,1,1,0,-0.11667822468793343,0
2014-11-02,2014-15,New York Knicks,Charlotte Hornets,2.0,3,1.0,1,3,1,2,1.8833217753120666,0
2014-11-02,2014-15,Portland Trail Blazers,Golden State Warriors,3.5,-5,-8.5,1,2,1,1,0.8833217753120666,0
2014-11-03,2014-15,Houston Rockets,Philadelphia 76ers,10.0,11,1.0,0,2,2,0,-0.11667822468793343,0
2014-11-03,2014-15,Brooklyn Nets,Oklahoma City Thunder,7.0,31,24.0,1,2,2,0,-0.11667822468793343,0
2014-11-03,2014-15,Memphis Grizzlies,New Orleans Pelicans,6.0,12,6.0,1,2,2,0,-0.11667822468793343,0
2014-11-03,2014-15,Dallas Mavericks,Boston Celtics,9.0,5,-4.0,1,2,2,0,-0.11667822468793343,0
2014-11-03,2014-15,Denver Nuggets,Sacramento Kings,8.0,-5,-13.0,1,2,1,1,0.8833217753120666,0
2014-11-03,2014-15,Los Angeles Clippers,Utah Jazz,9.5,6,-3.5,1,1,2,-1,-1.1166782246879334,0
2014-11-04,2014-15,Indiana Pacers,Milwaukee Bucks,3.0,-6,-9.0,1,3,3,0,-0.11667822468793343,0
2014-11-04,2014-15,Toronto Raptors,Oklahoma City Thunder,9.0,12,3.0,1,2,1,1,0.8833217753120666,0
2014-11-04,2014-15,Washington Wizards,New York Knicks,2.0,15,13.0,0,3,2,1,0.8833217753120666,0
2014-11-04,2014-15,Chicago Bulls,Orlando Magic,13.0,8,-5.0,1,3,3,0,-0.11667822468793343,0
2014-11-04,2014-15,New Orleans Pelicans,Charlotte Hornets,3.0,9,6.0,1,1,2,-1,-1.1166782246879334,0
2014-11-04,2014-15,Cleveland Cavaliers,Portland Trail Blazers,1.5,-19,-20.5,0,4,2,2,1.8833217753120666,0
2014-11-04,2014-15,Phoenix Suns,Los Angeles Lakers,6.0,6,0.0,0,3,3,0,-0.11667822468793343,0
2014-11-05,2014-15,Orlando Magic,Philadelphia 76ers,1.0,2,1.0,0,1,2,-1,-1.1166782246879334,0
2014-11-05,2014-15,Charlotte Hornets,Miami Heat,2.5,7,4.5,1,1,1,0,-0.11667822468793343,0
2014-11-05,2014-15,Brooklyn Nets,Minnesota Timberwolves,5.0,-7,-12.0,1,2,4,-2,-2.1166782246879334,0
2014-11-05,2014-15,Detroit Pistons,New York Knicks,4.0,3,-1.0,1,4,1,3,2.8833217753120666,0
2014-11-05,2014-15,Washington Wizards,Indiana Pacers,8.5,2,-6.5,1,1,1,0,-0.11667822468793343,0
2014-11-05,2014-15,Chicago Bulls,Milwaukee Bucks,7.0,9,2.0,0,1,1,0,-0.11667822468793343,0
2014-11-05,2014-15,San Antonio Spurs,Atlanta Hawks,8.5,2,-6.5,1,5,4,1,0.8833217753120666,0
2014-11-05,2014-15,Phoenix Suns,Memphis Grizzlies,1.0,-11,-12.0,1,1,2,-1,-1.1166782246879334,0
2014-11-05,2014-15,Cleveland Cavaliers,Utah Jazz,6.0,-2,-8.0,0,1,2,-1,-1.1166782246879334,0
2014-11-05,2014-15,Sacramento Kings,Denver Nuggets,2.0,22,20.0,1,2,2,0,-0.11667822468793343,0
2014-11-05,2014-15,Golden State Warriors,Los Angeles Clippers,3.5,17,13.5,1,3,2,1,0.8833217753120666,0
2014-11-06,2014-15,Houston Rockets,San Antonio Spurs,3.0,17,14.0,1,2,1,1,0.8833217753120666,0
2014-11-06,2014-15,Portland Trail Blazers,Dallas Mavericks,3.0,21,18.0,1,2,3,-1,-1.1166782246879334,0
2014-11-07,2014-15,Charlotte Hornets,Atlanta Hawks,3.0,3,0.0,1,2,2,0,-0.11667822468793343,0
2014-11-07,2014-15,Minnesota Timberwolves,Orlando Magic,4.0,-9,-13.0,0,2,2,0,-0.11667822468793343,0
2014-11-07,2014-15,Chicago Bulls,Philadelphia 76ers,11.5,3,-8.5,0,2,2,0,-0.11667822468793343,0
2014-11-07,2014-15,Boston Celtics,Indiana Pacers,5.5,3,-2.5,1,2,2,0,-0.11667822468793343,0
2014-11-07,2014-15,Brooklyn Nets,New York Knicks,5.5,11,5.5,1,2,2,0,-0.11667822468793343,0
2014-11-07,2014-15,Detroit Pistons,Milwaukee Bucks,5.5,3,-2.5,1,2,2,0,-0.11667822468793343,0
2014-11-07,2014-15,Toronto Raptors,Washington Wizards,4.5,19,14.5,1,2,2,0,-0.11667822468793343,0
2014-11-07,2014-15,Memphis Grizzlies,Oklahoma City Thunder,7.5,2,-5.5,0,2,3,-1,-1.1166782246879334,0
2014-11-07,2014-15,Phoenix Suns,Sacramento Kings,4.0,-2,-6.0,1,2,2,0,-0.11667822468793343,0
2014-11-07,2014-15,Dallas Mavericks,Utah Jazz,3.5,23,19.5,0,1,2,-1,-1.1166782246879334,0
2014-11-07,2014-15,Cleveland Cavaliers,Denver Nuggets,5.0,9,4.0,0,2,2,0,-0.11667822468793343,0
2014-11-08,2014-15,Los Angeles Clippers,Portland Trail Blazers,3.5,4,0.5,1,3,2,1,0.8833217753120666,0
2014-11-08,2014-15,Washington Wizards,Indiana Pacers,3.5,7,3.5,0,1,1,0,-0.11667822468793343,0
2014-11-08,2014-15,Atlanta Hawks,New York Knicks,6.0,7,1.0,1,1,1,0,-0.11667822468793343,0
2014-11-08,2014-15,Miami Heat,Minnesota Timberwolves,6.5,10,3.5,1,3,1,2,1.8833217753120666,0
2014-11-08,2014-15,Chicago Bulls,Boston Celtics,10.0,-5,-15.0,1,1,1,0,-0.11667822468793343,0
2014-11-08,2014-15,Golden State Warriors,Houston Rockets,4.0,11,7.0,0,3,2,1,0.8833217753120666,0
2014-11-08,2014-15,Memphis Grizzlies,Milwaukee Bucks,6.0,-1,-7.0,0,1,1,0,-0.11667822468793343,0
2014-11-08,2014-15,San Antonio Spurs,New Orleans Pelicans,7.5,-1,-8.5,1,2,4,-2,-2.1166782246879334,0
2014-11-09,2014-15,Brooklyn Nets,Orlando Magic,9.0,8,-1.0,1,2,2,0,-0.11667822468793343,0
