Best ROI cutoff: 0.520 -> 1946 bets, 1035 wins, 53.19% hit rate, +3.13% ROI

cutoff  bets  wins  win%  ROI(%)
0.500  11536  5814  50.40  -2.06
0.510  5237  2694  51.44  +0.07
0.520  1946  1035  53.19  +3.13
0.530  485  252  51.96  +1.04
0.540  66  37  56.06  +7.02
0.550  5  4  80.00  +52.72
0.560  0  0  0.00  +0.00
0.570  0  0  0.00  +0.00
0.580  0  0  0.00  +0.00
0.590  0  0  0.00  +0.00
0.600  0  0  0.00  +0.00
0.610  0  0  0.00  +0.00
0.620  0  0  0.00  +0.00
0.630  0  0  0.00  +0.00
0.640  0  0  0.00  +0.00
0.650  0  0  0.00  +0.00
0.660  0  0  0.00  +0.00
0.670  0  0  0.00  +0.00
0.680  0  0  0.00  +0.00
0.690  0  0  0.00  +0.00
0.700  0  0  0.00  +0.00
